ID варианта товара,Артикул,Название товара,Цена продажи,Остаток
230586757,Кофе в зернах Carraro Tazza D’oro  1 кг,135119913,1185.0,1185.0
230589265,Кофе в зернах Carraro Dolci Arabica  1 кг,135120125,1280.0,1280.0
230636178,Кофе в зернах Carraro Arena  1 кг,135123641,652.0,652.0
230637859,Кофе в зернах Carraro Arena  500 г,135123729,370.0,370.0
230638456,Кофе в зернах Carraro Arena  250 г,135123758,263.0,263.0
230639227,Кофе молотый Carraro Arena  250 г,135123800,200.0,200.0
231516441,Кофе молотый Pellini BIO 250 гр,135342873,715.0,715.0
231517678,Кофе в зёрнах Black Professional Classic 1 кг,135343685,1180.0,1180.0
231519067,Кофе в зернах Black Professional Espresso 1 кг,135344504,950.0,950.0
231519777,Кофе в зернах Black Professional Supremo 1 кг,135344977,1060.0,1060.0
232482908,Набор кофе молотый  2 х 125 гр SERRANO Selecto,135574767,510.0,510.0
232951462,Кофе в зернах Lavazza Pienaroma 1 кг,135638173,1148.0,1148.0
235388812,Кофе в зернах Saquella Espresso Bar Italia Gran Gusto 1 кг,136262029,1119.0,1119.0
235389533,Кофе в зернах Saquella Espresso Bar Italia Gran Crema 1 кг,136262072,1060.0,1060.0
235395569,Кофе молотый Saquella Bar Italia 100% Arabica 250 г,136262388,356.0,356.0
235397122,Кофе молотый Saquella Bar Italia Gran Crema вакуумная упаковка 250 г,136262512,298.0,298.0
235398224,Кофе молотый Saquella Bar Italia Gran Gusto вакуумная упаковка 250 г,136262560,320.0,320.0
235408029,Кофе в зернах Saquella Espresso Bar Italia Arabica 500 г,136266633,960.0,960.0
235408338,Кофе в зернах Saquella Espresso Bar Italia Gran Crema 500 г,136266742,628.0,628.0
235408464,Кофе в зернах Saquella Espresso Bar Italia Gran Gusto 500 г,136266794,585.0,585.0
235408986,Кофе молотый Saquella Espresso Oro жестяная банка 250 г,136267193,450.0,450.0
235409501,Кофе молотый Saquella Bar Italia Gran Gusto жестяная банка 250 г,136267367,359.0,359.0
235409724,Кофе молотый Saquella Bar Italia Gran Crema жестяная банка 250 г,136267448,335.0,335.0
